"CID,A,10","CCUSTYPE,A,1","CSUPTYPE,A,1","CNAME1,A,40","CNAME2,A,40","CADDRESS1,A,40","CADDRESS2,A,40","CZIPCODE,A,10","CSVATNO,A,15","CLOCALITY,A,40","CLANGUAGE,A,2","CISPERS,L,1","CPROCAT,A,3","CSUPCAT,A,3","CCUSCAT,A,3","CCURRENCY,A,3","CVATREF,A,2","CVATNO,A,12","CVATCAT,A,1","CTELNO,A,25","CFAXNO,A,25","CCUSLSTMNO,I,4","CSUPLSTMNO,I,4","CCUSVNAT1,A,3","CCUSVNAT2,A,3","CCUSVATCMP,N,8","CSUPVNAT1,A,3","CSUPVNAT2,A,3","CSUPVATCMP,N,8","CCUSCTRACC,A,10","CSUPCTRACC,A,10","CCUSIMPUTA,A,10","CSUPIMPUTA,A,10","CSUPCATCOMM,A,1","CNATREGISTRYID,A,20","CCTRYCODE,A,2","CBANKCODE,A,8","CBANKNO,A,20","DBNKQUALIF,A,8","CISWARNING,L,1","CISREADONL,L,1","CISBLOCK,L,1","CISSECRET,L,1","CCUSPAYDELAY,A,6","CSUPPAYDELAY,A,6","CCUSPAYDISC,N,8","CSUPPAYDISC,N,8","CCUSPDISCDEL,I,4","CSUPPDISCDEL,I,4","CCUSTEMPLID,A,10","CSUPTEMPLID,A,10","CMEMO,M,11","CREMLASTDATE,@,8","CREMLASTLEVEL,I,4","CREMCAT,A,5","CREMSTATUS,A,1","CTOTINTEREST,$,8","CMANUALPAY,L,1","CINDEPPAYEE,L,1","CINDEPPIMPUT,A,10","CBNKCIVILITY,A,1","CBNKLANGCODE,A,1","CBNKBANKDBK,A,4","CFACTORING,L,1","CFACTORID,A,10","CBANKORDERPAY,L,1","CBANKORDERPAYNO,A,15","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","EMAILADDRESS,A,60","HTTPADDRESS,A,60","CSUPPJOB,A,10","CTEMPCUSDEBIT,$,8","CTEMPCUSCREDIT,$,8","CTEMPSUPDEBIT,$,8","CTEMPSUPCREDIT,$,8","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","STATIONID,A,3","CBUSINESSNO,A,20","CSLEEPING,L,1","CCUSISWARNING,L,1","CSUPISWARNING,L,1","CCUSISREADONL,L,1","CSUPISREADONL,L,1","CCUSISBLOCK,L,1","CSUPISBLOCK,L,1","CCUSISSECRET,L,1","CSUPISSECRET,L,1","CCUSSLEEPING,L,1","CSUPSLEEPING,L,1","CBNKTYPEPAY,A,3","BOARDDATE,@,8","BOARDPUBLIC,L,1","FISCALCONTROL,A,25","FISCALCTRLTELNO,A,25","FOLDERID,A,2","FYEAREND,@,8","MANFOLDER,L,1","MANREPORT,L,1","REVISOR,A,10","USERRESP,A,10","VATCONTROL,A,25","VATCTRLTELNO,A,25","VATTYPE,A,3","CINDEPPAYAMN,$,8","TREMEXT,A,40","CCOUNTRY,A,6","CCOUHEAD,A,40","CSUPDISCADV,L,1","CSUPDISCADVTYPE,A,1","CCUSDISCADV,L,1","CCUSDISCADVTYPE,A,1"
ADMSTNIC,C,U,COMMUNE DE SAINT-NICOLAS,Service Comptabilité Fournisseurs,RUE DE L'HOTEL COMMUNAL 63,,BE4420,,SAINT-NICOLAS,F,0,,,,,,,N,04/252.98.90,04/254.71.61,15,0,,,0.000000,,,0.000000,,,,,,,BE,,001319951142,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2005-01-14 11:23:02,SCHILS,2008-08-04 16:09:03,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ADMTROIS,C,U,ADMINISTRATION COMMUNALE TROIS-PONTS,Service Comptabilité Fournisseurs,RUE DE COO 58,,BE4980,,TROIS-PONTS,F,0,,,,,,,N,080/68.98.85,080/68.98.98,9,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2006-06-08 11:12:19,SCHILS,2008-08-04 16:09:03,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
ADMVERV,C,U,ADMINISTRATION COMMUNALE DE VERVIERS,Service Comptabilité Fournisseurs,PL DU MARCHE 55,,BE4800,,VERVIERS,F,0,,,,,,,N,087/32.53.25,087/32.53.45,54,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ADOBE,C,S,ADOBE,Service Comptabilité Fournisseurs,PO BOX 319,,BE1930,,ZAVENTEM,F,0,,,,,BE,0476435393,,,,1,2,,,,,,,,,,,,,BE,BBRBBE,,,0,0,0,0,,30,,,,,,,,,,,,,0,0,,1,2,ING,0,,0,False,2004-05-14 00:00:00,2004-06-01 15:34:26,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0476435393,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ADPEINTU,C,U,AD PEINTURE SPRL,Service Comptabilité Fournisseurs,RUE J HERMESSE 104,,BE4020,,LIEGE JUPILLE-SUR-MEUSE,F,0,,,,,BE,0441393748,,04/362.14.68,,3,0,,,0.000000,,,0.000000,,,,,,,BE,,634584020197,,0,1,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0441393748,0,0,0,1,1,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ADPRESS,C,U,ADPRESS,Service Comptabilité Fournisseurs,RUE DU CHARBONNAGE 7,,BE4100,,SERAING,F,0,,,,,BE,0860062871,,04/330.33.20,04/330.33.22,60,0,,,0.000000,,,0.000000,,,,,,,BE,,001243197466,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,,2005-04-12 16:27:41,SCHILS,2008-08-04 16:09:03,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ADR,C,U,ADR (STUDIO) SPRL,Service Comptabilité Fournisseurs,RUE DES MINIERES 39,,BE4800,,VERVIERS,F,0,,,,,BE,0407028529,,087/23.01.82,087/23.02.52,2,0,,,0.000000,,,0.000000,,,,,,,BE,,248060118307,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0407028529,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ADRENALI,C,U,ADRENALINE,Service Comptabilité Fournisseurs,PETIT COO 4,,BE4970,,STAVELOT,F,0,,,,,BE,0465934550,,080/68.91.33,080/68.91.39,0,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0465934550,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ADS,C,U,ADS INTERIM SA,Service Comptabilité Fournisseurs,BLD DE LA SAUVENIERE 34 BTE 1,,BE4000,,LIEGE 1,F,0,,,,,BE,0416618265,,04/222.30.20,04/223.39.23,118,0,,,0.000000,,,0.000000,,,,,,,BE,,340033606090,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2008-07-25 00:00:00,1,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0416618265,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ADTS,C,U,ADTS SPRLU,Service Comptabilité Fournisseurs,RUE DE VERVIERS 11,,BE4020,,LIEGE 2,F,0,,,,,BE,0472555294,,04/344.35.06,04/344.35.19,9,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2008-03-28 00:00:00,1,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0472555294,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ADV,C,U,ADV CONSULT,Service Comptabilité Fournisseurs,BLD DE LA SAUVENIERE 34,,BE4000,,LIEGE 1,F,0,,,,,BE,0439305278,,04/223.46.32,04/222.98.57,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,1,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2005-01-14 11:23:03,SCHILS,2008-08-04 16:09:03,A,000,,,0,0,1,1,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
ADVANCED,C,U,ADVANCED COATING SA,,RUE DE L'AVOUERIE 7,,BE4000,,LIEGE SCLESSIN,F,0,,,,,BE,0458085072,,04/254.50.11,04/254.50.10,474,0,,,0.000000,,,0.000000,,,,,,,BE,,240041300075,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2006-08-10 00:00:00,1,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-05 08:58:17,M,,0458085072,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AEGIS,C,U,AEGIS MEDIA BELGIUM,Service Comptabilité Fournisseurs,CHSEE DE LA HULPE 189,,BE1170,,BRUXELLES,F,0,,,,,BE,0861999606,,02/663.51.00,02/663.51.39,49,0,,,0.000000,,,0.000000,,,,,,,BE,,732006401950,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2008-07-25 00:00:00,1,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,,2004-07-26 12:41:07,SCHILS,2008-08-04 16:09:03,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AEI,C,U,AEI SPRL,Service Comptabilité Fournisseurs,RUE DES PLATANES 12B,,BE4880,,AUBEL,F,0,,,,,BE,0475203493,,087/39.88.98,087/68.80.63,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2006-03-09 00:00:00,3,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0475203493,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AEROFLEE,C,U,AEROFLEET SA,Service Comptabilité Fournisseurs,CHSEE DE WEGIMONT 25A,,BE4630,,SOUMAGNE,F,0,,,,,BE,0442061266,,04/377.50.50,04/377.18.49,19,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0442061266,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AEROSOL,C,U,AEROSOL SCS,Service Comptabilité Fournisseurs,RUE HENRI PIEDBOEUF 12,,BE4031,,LIEGE ANGLEUR,F,0,,,,,BE,0869867294,,04/361.40.30,04/361.40.31,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2005-08-22 00:00:00,2,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,NEURAY,2005-06-06 09:49:02,SCHILS,2008-08-04 16:09:03,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AERTSSEN,C,U,AERTSSEN TERRASSEMENTS SA,Service Comptabilité Fournisseurs,PARC IND - RUE DE LA SCIENCE 16,,BE4530,,VILLERS-LE-BOUILLET,F,0,,,,,BE,0471808295,,0475/44.13.93,085/23.37.59,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2005-05-03 16:28:34,SCHILS,2008-08-04 16:09:03,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AES,C,U,AES,Service Comptabilité Fournisseurs,RUE SUR LE BOIS 85,,BE4601,,VISE ARGENTEAU,F,0,,,,,BE,0478891572,,087/78.34.21,087/78.34.19,4,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2004-05-10 00:00:00,1,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0478891572,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AF,C,U,AF BELGIUM,Service Comptabilité Fournisseurs,CHSEE BON DIEU,,BE1410,,WATERLOO,F,0,,,,,BE,0420052857,,02/351.26.76,02/351.26.62,4,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,NEURAY,2005-06-06 09:49:03,SCHILS,2008-08-04 16:09:03,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AFIF,C,U,MOBITEX ASBL,Service Comptabilité Fournisseurs,RUE DE L'ERMITAGE 16,,BE4400,,FLEMALLE,F,0,,,,,BE,0459634696,,,,7,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2004-11-18 11:52:19,SCHILS,2008-08-04 16:09:03,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AFIPA,C,U,AFIPA SPRL,Service Comptabilité Fournisseurs,RUE A GILLES 1,,BE4920,,AYWAILLE,F,0,,,,,,,N,04/384.40.41,04/384.67.15,5,0,,,0.000000,,,0.000000,,,,,,,BE,,240018686345,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AFTER,C,U,AFTERTOUCH,Service Comptabilité Fournisseurs,RUE DE LA SABLONNIERE 55,,BE4031,,LIEGE ANGLEUR,F,0,,,,,BE,0895431447,,0477/85.23.48,,7,1,,,,,,,,,,,,,BE,,068248854537,,0,0,0,0,30,,,,,,,,,,,STD,,,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,SCHILS,2008-05-14 08:51:20,SCHILS,2008-08-04 16:09:03,A,000,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,0,0,,,,,,,,BE,Belgique,0,,0,
AFV,C,U,AFV IMPORT-EXPORT SPRL,Service Comptabilité Fournisseurs,RUE DE BEAUFAYS,,BE4140,,SPRIMONT,F,0,,,,,BE,0878722109,,0475/34.16.06,,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2006-02-08 12:05:37,SCHILS,2008-08-04 16:09:03,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AGAKURE,C,U,AGAKURE SPRL,Service Comptabilité Fournisseurs,RUE DE LA REGENCE 15,,BE6000,,CHARLEROI,F,0,,,,,BE,0872236668,,071/33.21.15,071/33.22.15,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2007-04-27 13:46:11,SCHILS,2008-08-04 16:09:03,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
AGECO,C,S,AGECO,Service Comptabilité Fournisseurs,RUE DES PALAIS 100,,BE1030,,BRUXELLES SCHAERBEEK,F,0,,,,,BE,0469736257,,02/214.41.18,,1,2,,,,BSD,GD,21.000000,,,,,,,BE,BBRBBE,340025210944,,0,0,0,0,,30,,,,,,,,,,,,,0,0,,,,ING,0,,0,False,,,MONKEY,,,,,,,,SCHILS,2006-01-30 12:39:23,SCHILS,2008-08-04 16:09:03,A,000,0469736257,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AGECONO,C,U,AGENCE DE STIMULATION ECONOMIQUE SA,Service Comptabilité Fournisseurs,RUE DU VERTBOIS 13B,,BE4000,,LIEGE 1,F,0,,,,,,,N,04/220.51.00,04/220.51.19,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2007-05-29 13:46:21,SCHILS,2008-08-04 16:09:03,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
AGEDOR,C,U,AGE D'OR SERVICES LIEGE,Service Comptabilité Fournisseurs,QUAI DE L'OURTHE 43,,BE4020,,LIEGE 2,F,0,,,,,BE,0872085329,N,04/250.15.40,04/250.15.41,17,0,,,0.000000,,,0.000000,,,,,,,BE,,370117078885,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2007-03-26 00:00:00,1,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2006-01-11 08:33:00,SCHILS,2008-08-04 16:09:03,A,000,,,0,0,0,0,0,0,0,0,,,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AGEDORSE,C,U,AGE D'OR SERVICES MONS,Service Comptabilité Fournisseurs,"RUE DU TRAVAIL, 63",,BE7000,,MONS,F,0,,,,,BE,0465654141,N,0800/951.05,0800/951.04,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2007-01-30 00:00:00,3,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2006-10-18 08:56:42,SCHILS,2008-08-04 16:09:03,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
AGEPA,C,U,AGEPA SPRL,Service Comptabilité Fournisseurs,AVE C GRANDPREZ 27,,BE4970,,STAVELOT,F,0,,,,,BE,0463076614,X,080/86.29.83,080/86.28.21,6,0,,,0.000000,,,0.000000,,,,,,,BE,,340135067181,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AGES,C,S,AGES ASBL,Service Comptabilité Fournisseurs,RUE DES STEPPES 24,,BE4000,,LIEGE 1,F,0,,,,,BE,0430949224,,04/227.58.89,04/227.58.13,4,2,,,0.000000,,,0.000000,,,,,,,BE,,068203993754,,0,0,0,0,,30,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,ING,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0430949224,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AGF,U,S,AGF BELGIUM,,RUE DE LAEKEN 35,,BE1000,,Brussel,F,0,,,,,,,N,,,1,2,,,,BSD,GD,0.000000,,,,614000,,,,BBRBBE,310014076507,,0,0,0,0,,30,,,,,,,,,,,,,0,0,,,,,0,,0,,,,,,,,,,,,SCHILS,2005-11-14 11:17:37,SCHILS,2008-01-07 12:13:01,A,000,,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AGFMOTOR,C,U,AGF MOTOR SPRL,Service Comptabilité Fournisseurs,RTE DU CONDROZ 173,,BE4121,,NEUPRE NEUVILLE-EN-CONDROZ,F,0,,,,,BE,0429281022,,04/364.26.64,04/364.26.61,4,0,,,0.000000,,,0.000000,,,,,,,BE,,240032096189,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2007-06-26 09:08:04,SCHILS,2008-08-04 16:09:03,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
AGFO,C,U,AGFO + INTERNATIONAL SPRL,Service Comptabilité Fournisseurs,HOOGSTRAAT 82,,BE2800,,MECHELEN,F,0,,,,,BE,0475592681,,015/71.57.80,015/71.57.80,0,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0475592681,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AGIO,C,U,AGIO SA,Service Comptabilité Fournisseurs,QUAI ST LEONARD 20 BTE 62,,BE4000,,LIEGE 1,F,0,,,,,BE,0429371092,,0477/44.90.17,,0,0,,,0.000000,,,0.000000,,,,,,,BE,,240081478485,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0429371092,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AGLIATA,C,U,AGLIATA & CHARLIER,Service Comptabilité Fournisseurs,RUE DE LA STATION 9,,BE4101,,SERAING JEMEPPE-SUR-MEUSE,F,0,,,,,,,N,,,2,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2007-03-15 09:03:01,SCHILS,2008-08-04 16:09:03,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
AGORA,C,U,AGORA IMMO SPRL,Service Comptabilité Fournisseurs,VOIE DE L'AIR PUR 160,,BE4052,,CHAUDFONTAINE BEAUFAYS,F,0,,,,,BE,0477729354,,04/368.59.49,04/368.59.69,133,0,,,0.000000,,,0.000000,,,,,,,BE,,001376077968,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2006-12-27 00:00:00,1,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0477729354,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AGORALIB,C,U,AGORA  ( LIBRAIRIE ) SA,Service Comptabilité Fournisseurs,RUE DES CARMES 7B,,BE4000,,LIEGE 1,F,0,,,,,BE,0401405301,,04/223.21.25,04/222.07.52,8,0,,,0.000000,,,0.000000,,,,,,,BE,,240002656285,,0,0,0,0,,,0.000000,0.000000,0,0,,,,2006-08-10 00:00:00,1,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2006-06-08 11:12:19,SCHILS,2008-08-04 16:09:03,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,Belgique,0,,0,
AGORIA,C,S,AGORIA ASBL,Comptabilité / Mme CARRE,BLD E DE LAVELEYE 191,,BE4020,,LIEGE 2,F,0,,,,,BE,0406605390,,04/340.35.15,04/341.02.77,64,2,,,0.000000,,,0.000000,,,,,,,BE,,248038757085,,0,0,0,0,,30,0.000000,0.000000,0,0,,,,2008-03-28 00:00:00,3,STD,,0.000000,0,0,,,,ING,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,0406605390,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AGRA,C,U,AGRA OST,Service Comptabilité Fournisseurs,KLOSTERSTRASSE 38,,BE4780,,SANKT VITH,F,0,,,,,,,N,080/22.78.96,,0,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AGRICOLE,C,U,AGRICOLES REUNIES,Service Comptabilité Fournisseurs,RUE DES MARTYRS 23,,BE4650,,HERVE,F,0,,,,,,,X,,,4,0,,,0.000000,,,0.000000,,,,,,,BE,,248007738913,,0,1,0,0,,,0.000000,0.000000,0,0,,,,,0,STD,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,,,,,,,SCHILS,2008-08-04 16:09:03,M,,,0,0,0,0,1,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,,BE,Belgique,0,,0,
AGRIMENS,C,U,AGRIMENSORE SPRL,Service Comptabilité Fournisseurs,RUE SUR LES HAIES 2,,BE4550,,NANDRIN,F,0,,,,,BE,0463282391,,085/25.07.50,085/25.07.70,0,0,,,0.000000,,,0.000000,,,,,,,BE,,,,0,0,0,0,,,0.000000,0.000000,0,0,,,,,0,,,0.000000,0,0,,,,,0,,0,False,,,MONKEY,,,,0.000000,0.000000,0.000000,0.000000,SCHILS,2008-08-04 11:03:37,SCHILS,2008-08-04 16:09:03,A,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
