"CID,A,10","CCUSTYPE,A,1","CSUPTYPE,A,1","CNAME1,A,40","CNAME2,A,40","CADDRESS1,A,40","CADDRESS2,A,40","CZIPCODE,A,10","CSVATNO,A,15","CLOCALITY,A,40","CLANGUAGE,A,2","CISPERS,L,1","CPROCAT,A,3","CSUPCAT,A,3","CCUSCAT,A,3","CCURRENCY,A,3","CVATREF,A,2","CVATNO,A,12","CVATCAT,A,1","CTELNO,A,25","CFAXNO,A,25","CMEMO,M,11","CCUSLSTMNO,I,4","CSUPLSTMNO,I,4","CCUSVNAT1,A,3","CCUSVNAT2,A,3","CCUSVATCMP,N,8","CSUPVNAT1,A,3","CSUPVNAT2,A,3","CSUPVATCMP,N,8","CCUSCTRACC,A,10","CSUPCTRACC,A,10","CCUSIMPUTA,A,10","CSUPIMPUTA,A,10","CSUPCATCOMM,A,1","CCTRYCODE,A,2","CBANKCODE,A,8","CBANKNO,A,20","DBNKQUALIF,A,8","CISWARNING,L,1","CISREADONL,L,1","CISBLOCK,L,1","CISSECRET,L,1","CCUSPAYDELAY,A,6","CSUPPAYDISC,N,8","CSUPPDISCDEL,I,4","CTEMPCUSDEBIT,$,8","CTEMPCUSCREDIT,$,8","CTEMPSUPDEBIT,$,8","CTEMPSUPCREDIT,$,8","CREMLASTDATE,@,8","CREMLASTLEVEL,I,4","CREMCAT,A,5","CREMSTATUS,A,1","CTOTINTEREST,$,8","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","CNATREGISTRYID,A,20","CSUPPAYDELAY,A,6","CMANUALPAY,L,1","CINDEPPAYEE,L,1","CINDEPPIMPUT,A,10","CBNKCIVILITY,A,1","CBNKLANGCODE,A,1","CBNKBANKDBK,A,4","CFACTORING,L,1","CFACTORID,A,10","CBANKORDERPAY,L,1","CBANKORDERPAYNO,A,15","CCUSPDISCDEL,I,4","CCUSPAYDISC,N,8","CCUSTEMPLID,A,10","CSUPTEMPLID,A,10","EMAILADDRESS,A,60","HTTPADDRESS,A,60","CSUPPJOB,A,10","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","STATIONID,A,3","XUSRGETEMPL,N,8","XUSRGETTO,$,8","XUSRGETINTERES,A,10","CBUSINESSNO,A,20","CSLEEPING,L,1","CCUSISWARNING,L,1","CSUPISWARNING,L,1","CCUSISREADONL,L,1","CSUPISREADONL,L,1","CCUSISBLOCK,L,1","CSUPISBLOCK,L,1","CCUSISSECRET,L,1","CSUPISSECRET,L,1","CCUSSLEEPING,L,1","CSUPSLEEPING,L,1","CBNKTYPEPAY,A,3","BOARDDATE,@,8","BOARDPUBLIC,L,1","FISCALCONTROL,A,25","FISCALCTRLTELNO,A,25","FOLDERID,A,2","FYEAREND,@,8","MANFOLDER,L,1","MANREPORT,L,1","REVISOR,A,10","USERRESP,A,10","VATCONTROL,A,25","VATCTRLTELNO,A,25","VATTYPE,A,3","XUSRCONTACT,A,10","CCOUNTRY,A,6","CCOUHEAD,A,40","CSUPDISCADV,L,1","CSUPDISCADVTYPE,A,1","CINDEPPAYAMN,$,8","CCUSDISCADV,L,1","CCUSDISCADVTYPE,A,1","TREMEXT,A,40"
BROWNING,U,U,BROWNING SA,,3IEME RUE 25 - PARC INDUSTRIEL DES HAUTS,,BE4040,,HERSTAL,F,,003,,,,BE,0430037226,,042405211,042481490,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0430037226,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
BUGA,C,U,BUGA ANTWERPEN NV,,SNELWEGSTRAAT 7,,BE2260,,OEVEL,N,,,,001,,BE,0412709462,,014584411,014585430,,2,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0412709462,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
BUNDY,U,S,BUNDY SA,,AU WERIHET 55,,BE4020,,WANDRE,F,,,002,,,BE,0405958163,,043627983,043629857,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0405958163,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
CAL.E,U,U,Calberson europe,,rue H. Barbusse,,FR59164,,Marpent,F,,003,,,,FR,,,27686821,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,FR,France,0,,,0,,
CALLEBAUT,C,U,CALLEBAUT NV,,AALSTERSESTRAAT 124,,BE9280,,WIEZE,N,,,,001,,BE,0438950833,,053730211,053780463,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,2003-09-08 00:00:00,1,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0438950833,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
CARGILL,U,S,CARGILL NV,,MUISBROEKLAAN KAAI 506,,BE2030,,ANTWERPEN,N,,,002,,,BE,0420829847,,035401811,035401860,,1,3,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0420829847,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
CARITAS,U,U,CARITAS SA,,RUE DE LA GRENOUILLETTE 2,,BE1130,,BRUXELLES,N,,003,,,,BE,0401940680,,022422080,022423480,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0401940680,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
CARREFOUR,C,U,CARREFOUR,,,,BE4020,,Liège,E,0,,,003,,,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0,0,60*,,,,,,,,,,,,,,,,,0,0,,,,,0,,0,,,,,,,,,BOB,2003-09-15 10:14:08,ADMIN,2008-06-30 12:00:44,A,,,,,,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgium,0,,,0,,
CASE,C,U,CASE BELGIUM NV,,BRANDEKENSWEG 17,,BE2627,,SCHELLE,N,,,,001,,BE,0452808866,,038808400,038445221,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0452808866,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
CAT,U,S,CATERPILLAR-BELGIUM,,AVENUE DES ETATS-UNIS 1,,BE6041,,GOSSELIES,F,,,002,,,BE,0401633250,,071252111,071252465,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0401633250,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
CHAMOSEL,U,U,CHAMBRE DE COMMERCE ET D'INDUSTRIE,DE LA MOSELLE,"Avenue Foch, 10/12",BP 330,FR57016,,METZ CEDEX 1,F,,003,,,,FR,,,0033/87523100,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,FR,France,0,,,0,,
CHAUFF,U,S,Chauffage Service SA,,"Avenue de la Mangue Pourpre, 58/c",,BE6041,,Gosselies,F,0,,002,,,BE,0602602602,,,,,1,1,,,,,,,,440000,,612030,,,BBRBBE,,,0,0,0,0,,,,,,,,,,,,,,,,,60*,0,0,,,,,0,,0,,,,,,,,,BOB,2003-09-17 12:22:30,ADMIN,2008-06-30 12:00:45,A,,,,,0602602602,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
CIMENTSHAC,C,U,CIMENTS DE HACCOURT SA,,RUE DE L'ECLUSE 40,,BE4684,,HACCOURT,F,,002,,001,,BE,0440309823,,043799911,043794922,,2,1,,,,,,,,,700000,,,,,,,,1,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0440309823,0,,,1,1,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
CITROEN,U,S,CITROEN BELUX NV,,BURGEMEESTER A HEYNDRICKXLAAN 2,,BE9050,,LEDEBERG,N,,,002,,,BE,0448813060,,092323030,092317719,,1,3,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0448813060,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
CLABECQ,U,U,FORGES DE CLABECQ,,RUE DE LA DUPORTATION 21,,BE1480,,TUBIZE,N,,003,,,,BE,0400346912,,023557755,023557777,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0400346912,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
CMB,C,U,C.M.B. NV,,DE GERLACHEKAAI 20,,BE2000,,ANTWERPEN 1,N,,,,001,,BE,0404507915,,032475911,032475992,,4,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404507915,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
COCCINELLE,U,S,COCCINELLE NV,,ACACIASTRAAT 21,,BE2440,,GEEL,N,,,002,,,BE,0425718350,,015317181,015317411,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0425718350,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
COCKERILL,U,U,COCKERILL SAMBRE SA,,RUE DE L'USINE 1,,BE6010,,COUILLET,F,,003,,,,BE,0403940662,,071444111,071436707,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0403940662,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
COLRUYT0,C,U,COLRUYT NV,,JONGHELINCKSTRAAT 18,,BE2018,,ANTWERPEN 7,N,,,,001,,BE,0400378485,,032378723,023600207,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0400378485,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
COLRUYT1,U,S,COLRUYT NV,,PUTSESTEENWEG,,BE2860,,SINT-KATELIJNE-WAVER,N,,,002,,,BE,0400378485,,015550251,023600207,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0400378485,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
COLRUYT2,U,U,COLRUYT NV,,VAN LISSUMSTRAAT 34,,BE2100,,DEURNE (ANTWERPEN),N,,003,,,,BE,0400378485,,033211135,023600207,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0400378485,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
COLRUYT3,C,U,COLRUYT NV,,LEOPOLDSLEI 22,,BE2930,,BRASSCHAAT,N,,,,001,,BE,0400378485,,036513151,023600207,,2,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0400378485,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
COLRUYT4,U,S,COLRUYT NV,,EYERDIJKSTRAAT 22,,BE2100,,DEURNE (ANTWERPEN),N,,,002,,,BE,0400378485,,033265070,023600207,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0400378485,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
COMBORI,U,U,COMBORI NV,,BLANCEFLOERLAAN 181,,BE2050,,ANTWERPEN,N,,003,,,,BE,0404936002,,032101211,032195804,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404936002,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
COMPFIDU,C,U,Compagnie Fiduciaire,,Bd de la Foire 13,,LU2013,,LUXEMBOURG,F,,,,001,,LU,45454545,,344.90.91,,,2,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
COOPERS,U,S,COOPERS & LYBRAND,,"Rue des Scillas, 15",,LU2529,,HOWALD,F,,,002,,,LU,,,00352/40.35.66,,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
COOPERS2,U,U,COOPERS & LYBRAND,Département MCS,"rue Eugène Ruppert, 16",BP 1446,LU1014,,LUXEMBOURG,F,,003,,,,LU,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
COPY,U,S,Librairie COPY,,"Rue de la Prairie, 54",,BE5550,,Sugny,F,0,,002,,,BE,0459217794,,,,,1,1,,,,,,,,440000,,612300,,,BBRBBE,,,0,0,0,0,,,,,,,,,,,,,,,,,60*,0,0,,,,,0,,0,,,,,,,,,BOB,2003-09-17 12:23:51,ADMIN,2008-06-30 12:00:45,A,,,,,0459217794,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
CORA,C,U,CORA,,PLACE EMILE VANDERVELDE,,BE6043,,RANSART,F,,,,001,,BE,0402537726,,027781980,071258820,,2,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0402537726,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
CORA_SA,U,S,CORA SA,,RUE DE LA GLACERIE 122,,BE6180,,COURCELLES,F,,,002,,,BE,0402537726,,071363406,071817674,,1,4,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0402537726,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
COREDIS,U,U,COREDIS SA,,ROUTE DE LA GILEPPE 4,,BE4834,,GOE,F,,003,,,,BE,0431244083,,087342711,087342760,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0431244083,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
CORMAN,C,U,N. CORMAN SA,,ROUTE DE LA GILEPPE 4,,BE4834,,GOE,F,,,,001,,BE,0402791015,,087342211,087763825,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0402791015,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
CREGEM,U,S,CREGEM INTERNATIONAL BANK,,"Route d'Arlon, 283",,LU1150,,Luxembourg,F,,,002,,,LU,,,352/457525978,,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
CRP,U,U,Centre de recherche publique,,Av de la Faiencerie 162A,,LU1511,,LIMPENSBERG,,,003,,,,LU,,,00.352.21.621,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
CSINTERGL,C,U,CS-INTERGLAS SA,,RUE CHESSEROUX  - PARC INDUSTRIEL 23,,BE4651,,BATTICE,F,,,,001,,BE,0402264245,,087692970,087692997,,2,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0402264245,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
DAF_ASSEN,U,S,DAF ASSEN- EN CABINEFABRIEK NV,,VAN DOORNELAAN 1,,BE2260,,WESTERLO,N,,,002,,,BE,0449372294,,014563500,014563510,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0449372294,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
DAF_BELGI,U,U,DAF BELGIE NV,,VAN DOORNELAAN 1,,BE2260,,OEVEL,N,,003,,,,BE,0449372294,,014589591,014583727,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0449372294,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
DAMBOIS,C,U,DAMBOIS SA,,QUAI DE CORONMEUSE 39,,BE4000,,Liège,F,,,,001,,BE,0402389850,,042289911,042272237,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0402389850,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
DECOSTEEL,U,S,DECOSTEEL NV,,LAMMERDRIES 10,,BE2440,,GEEL,N,,,002,,,BE,0452573195,,014563050,014590839,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0452573195,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
DEJOND,U,U,DE JOND NV,,TER BEKEHOFDREEF 55,,BE2610,,WILRIJK,N,,003,,,,BE,0404943722,,038203470,038203574,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404943722,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
DELIJN,C,U,DE LIJN - VLAAMSE VERVOERMAATSCHAPPIJ NV,,HENDRIK CONSCIENCESTRAAT 1,,BE2800,,MECHELEN,N,,,,001,,BE,0242069537,,015440711,015440998,,2,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0242069537,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
DELL,U,S,DELL Computer,,"Rue de Namur, 125",,BE1000,,Brussel,E,0,,001,,,BE,0416301828,,,,,1,1,,,,,,,,,,612200,,,BBRBBE,,,0,0,0,0,,,,,,,,,,,,,,,,,60*,0,0,,,,,0,,0,,,,,,,,,BOB,2003-09-17 12:24:55,ADMIN,2008-06-30 12:00:45,A,,,,,0416301828,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgium,0,,,0,,
DISTRIGAZ,U,S,DISTRIGAZ NV,,KUNSTLAAN 31,,BE1040,,BRUSSEL,N,,,002,,,BE,0402954628,,022377211,022300239,,1,3,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0402954628,0,,,,,,,,,0,1,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
DISTRISUD,U,U,DISTRISUD-BELLENS SA,,BOULEVARD DE FROIDMONT 35,,BE4030,,GRIVEGNEE,F,,003,,,,BE,0404228593,,043433030,043433770,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0404228593,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgique,0,,,0,,
DUPONT,C,U,DU PONT DE NEMOURS-BELGIUM,,ANTOON SPINOYSTRAAT  6,,BE2800,,MECHELEN,N,,,,001,,BE,0400837058,,015441011,015441407,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0400837058,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
DURACELL,U,S,DURACELL BATTERIES NV,,NIJVERHEIDSLAAN 7,,BE3200,,AARSCHOT,N,,,002,,,BE,0400959891,,016552011,016552010,,1,2,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,0400959891,0,,,,,,,,,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,België,0,,,0,,
EASY,U,S,EASYNET Belgium,,"Rue Gulledelle, 92",,BE1200,,Brussel (Sint-Lambrechts-Woluwe),E,0,,002,,,BE,0466025612,,,,,1,1,,,,,,,,,,614300,,,BBRBBE,,,0,0,0,0,,,,,,,,,,,,,,,,,60*,0,0,,,,,0,,0,,,,,,,,,BOB,2003-09-17 12:26:44,ADMIN,2008-06-30 12:00:45,A,,,,,0466025612,0,0,0,0,0,0,0,0,0,0,0,NAT,,0,,,,,0,0,,,,,M,,BE,Belgium,0,,,0,,
ECCO,U,U,ECCO LUXEMBOURG S.A.,,Place de la Gare 26,,LU1616,,LUXEMBOURG,F,,003,,,,LU,,,00352/49.35.13,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,LU,Luxembourg,0,,,0,,
EDUSOFT,C,U,EDITIONS EDUSOFT,,132 BD CAMELINAT,,FR92247,,MALAKOFF,F,,,,001,,FR,44444444444,,01 46730555,,,3,1,,,,,,,,,700000,,,,,,,,,,,,,,,,,,2003-09-08 00:00:00,1,,,,2003-09-12 09:46:02,2003-09-12 09:46:02,BOB,,,,,,,,,,,,,,,,,,,,,,ADMIN,2008-06-30 12:00:44,M,,,,,,0,,,,,,,,,0,0,FOR,,0,,,,,0,0,,,,,M,,FR,France,0,,,0,,
