lang,website,name,comment,category_id:id,domiciliation_bool,domiciliation,ref,id,vat
fr_FR,,S.G.P.M.I. SA,,base.res_partner_category_8,,,SGPMI,SGPMI SA,0450297754
fr_FR,,SHIMANO SA,,base.res_partner_category_8,,,SHIMANO,SHIMANO SA,0404129318
nl_NL,,SIBELGAZ-SIBELGAS SC,,,,,SIBELGAZ,SIBELGAZ-SIBELGAS SC,0229921078
nl_NL,,SIDMAR NV,,base.res_partner_category_0,,,SIDMAR,SIDMAR NV,0400106291
fr_FR,,SIEMENS NIXDORF LUXEMBOURG,,base.res_partner_category_8,,,SIEMELUX,SIEMENS NIXDORF LUXEMBOURG,
nl_NL,,SIEMENS NV,,,,,SIEMENS,SIEMENS NV,0403146747
fr_FR,,SIMOP,,base.res_partner_category_0,,,SIMOP,SIMOP,
nl_NL,,ST  INTERN. TELECOMMUNICATION AERONAUT.,,base.res_partner_category_8,,,SITA,ST  INTERN TELECOMMUNICATION AERONAUT,0403150410
en_US,,SKYNET SA,,base.res_partner_category_8,,,SKYNET,SKYNET SA,0460102672
en_US,,SMAP / OMOP,,base.res_partner_category_8,,,SMAP,SMAP / OMOP,
nl_NL,,SMITH KLINE BEECHAM-BIOLOGICALS SA,,,,,SMITH,SMITH KLINE BEECHAM-BIOLOGICALS SA,0440872918
nl_NL,,SNCB,,base.res_partner_category_0,,,SNCB,SNCB,0203430576
nl_NL,,SOGEM SA-NV,,base.res_partner_category_8,,,SOGEM,SOGEM SA-NV,0402964625
fr_FR,,SOLUVER SARL,,,,,SOLUVER,SOLUVER SARL,
fr_FR,,SOLUXTRAFER,,base.res_partner_category_0,,,SOLUXTRA,SOLUXTRAFER,
fr_FR,,SOMEF SA,,base.res_partner_category_8,,,SOMEF,SOMEF SA,0402424294
nl_NL,,SPARTA NV,,,,,SPARTA,SPARTA NV,0422811320
nl_NL,,STANDAARD UITGEVERIJ,,base.res_partner_category_0,,,STANDAARD,STANDAARD UITGEVERIJ,0426929860
fr_FR,,STATEC,,base.res_partner_category_8,,,STATEC,STATEC,
fr_FR,,STEELINTER SA,,,,,STEELINTER,STEELINTER SA,0403940662
fr_FR,,FIDUCIAIRE STEICHEN,,base.res_partner_category_0,,,STEICHEN,FIDUCIAIRE STEICHEN,
fr_FR,,STEINBACH-INTERMILLS SA,,base.res_partner_category_8,,,STEINBACH,STEINBACH-INTERMILLS SA,0450700602
nl_NL,,SOCIETE DES TRANSPORTS INTERCOMMUNAUX,,,,,STIB,SOCIETE DES TRANSPORTS INTERCOMMUNAUX,0203474227
fr_FR,,STOCKOBEL SPRL,,base.res_partner_category_0,,,STOCKOBEL,STOCKOBEL SPRL,0412556044
fr_FR,,SUD BOISSON,,base.res_partner_category_8,,,SUDBOISS,SUD BOISSON,
nl_NL,,SUIKER EXPORT NV,,,,,SUIKER,SUIKER EXPORT NV,0404854640
nl_NL,,SUPERMARKT DE WOLF,,base.res_partner_category_0,,,SUPERMARKT,SUPERMARKT DE WOLF,0424990454
fr_FR,,SUPER ECHO,,base.res_partner_category_8,,,SUPER_ECHO,SUPER ECHO,0402435776
nl_NL,,SUZUKI EUROPE SA,,,,,SUZUKI,SUZUKI EUROPE SA,0444881986
nl_NL,,SWAEGERS EN CO,,base.res_partner_category_0,,,SWAEGERS,SWAEGERS EN CO,0421836370
fr_FR,,SYBRON CHIMIE FRANCE SA,,base.res_partner_category_8,,,SYBRON,SYBRON CHIMIE FRANCE SA,
fr_FR,,SYBRON CHIMIE FRANCE S.A.,,,,,SYBRON2,SYBRON CHIMIE FRANCE SA,
fr_FR,,TABACCOMAT SA,,base.res_partner_category_0,,,TABACCOMAT,TABACCOMAT SA,0429472844
fr_FR,,TEC LIEGE-VERVIERS SA,,base.res_partner_category_8,,,TEC,TEC LIEGE-VERVIERS SA,0242319658
nl_NL,,TESSENDERLO CHEMIE NV,,,,,TESSENDERL,TESSENDERLO CHEMIE NV,0412101728
,,Test,,,,,TEST,Test,
nl_NL,,TEXACO BELGIUM,,base.res_partner_category_0,,,TEXACO,TEXACO BELGIUM,0406843239
fr_FR,,THYSSEN BELGE SA-NV,,base.res_partner_category_8,,,THYSSEN,THYSSEN BELGE SA-NV,0401921577
nl_NL,,TOYOTA,,,,,TOYOTA,TOYOTA,0403425770
nl_NL,,TRACTO NV,,base.res_partner_category_0,,,TRACTO,TRACTO NV,0400861903
nl_NL,,FLANDERS TRAVEL NV,,base.res_partner_category_8,,,TRAVEL,FLANDERS TRAVEL NV,0436267594
fr_FR,,TRAX,,,,,TRAX,TRAX,
fr_FR,,TREK USA Import,,base.res_partner_category_8,,,TREK,TREK USA Import,0461622901
en_US,,Umbro,,base.res_partner_category_8,,,UMBRO,Umbro,
nl_NL,,UNION MINIERE SA-NV,,base.res_partner_category_0,,,UNION_MIN,UNION MINIERE SA-NV,0401574852
fr_FR,,PNEU UNIROYAL ENGLEBERT SA,,base.res_partner_category_8,,,UNIROYAL,PNEU UNIROYAL ENGLEBERT SA,0404411707
nl_NL,,UOP NV,,,,,UOP,UOP NV,0436044296
fr_FR,,NOUVELLE SOCIETE VAMOS ET COMPAGNIE SA,,base.res_partner_category_0,,,VAMOS,NOUVELLE SOCIETE VAMOS ET COMPAGNIE SA,0427663397
nl_NL,,BANK J. VAN BREDA & CO,,base.res_partner_category_8,,,VANBREDA,BANK J VAN BREDA & CO,0419900033
nl_NL,,VANDEMOORTELE NV,,,,,VANDEMOORT,VANDEMOORTELE NV,0414062712
nl_NL,,VAN DEN BERGHE VOEDERS NV,,base.res_partner_category_0,,,VANDENBER,VAN DEN BERGHE VOEDERS NV,0435455467
nl_NL,,VANDER ELST TABAK NV,,base.res_partner_category_8,,,VANDER,VANDER ELST TABAK NV,0404994497
nl_NL,,VAN DE WALLE FIRST IN FOOD NV,,,,,VANDEWALLE,VAN DE WALLE FIRST IN FOOD NV,0413810809
nl_NL,,VAN MIERLO-PROOST & CO NV,,base.res_partner_category_0,,,VANMIERLO,VAN MIERLO-PROOST & CO NV,0404208601
nl_NL,,VAN WELLEN NV,,base.res_partner_category_8,,,VANWELLEN,VAN WELLEN NV,0403863557
nl_NL,,VAN HOOL,,,,,VAN_HOOL,VAN HOOL,0404060032
nl_NL,,VEHA NV,,base.res_partner_category_0,,,VEHA,VEHA NV,0404063101
nl_NL,,VERSTREPEN VLEES NV,,base.res_partner_category_8,,,VERSTREPEN,VERSTREPEN VLEES NV,0414573842
fr_FR,,VIANA,,,,,VIANA,VIANA,
en_US,,VIKING - OFFICE DEPOT INTERNATIONAL,,base.res_partner_category_8,,,VIKING,VIKING - OFFICE DEPOT INTERNATIONAL,0472369115
nl_NL,,VINK N.V.,,base.res_partner_category_0,,,VINK,VINK NV,0406122172
nl_NL,,VOLKSWAGEN,,base.res_partner_category_8,,,VOLKSWAGEN,VOLKSWAGEN,0403448140
nl_NL,,VOLVO EUROPA CAR NV,,,,,VOLVO,VOLVO EUROPA CAR NV,0420383548
,,VW,,base.res_partner_category_8,,,VW,VW,
en_US,,Water Fournitures,,base.res_partner_category_8,,,WATER,Water Fournitures,
fr_FR,,WICKLER FRERES SARL,,base.res_partner_category_0,,,WICKLER,WICKLER FRERES SARL,
nl_NL,,WILLEMS METAALCONSTRUCTIES NV,,base.res_partner_category_8,,,WILLEMS,WILLEMS METAALCONSTRUCTIES NV,0404219487
nl_NL,,WOLF OIL CORPORATION NV,,,,,WOLFOIL,WOLF OIL CORPORATION NV,0403699350
fr_FR,,WOOD OPTIC,,base.res_partner_category_0,,,WOODOPTI,WOOD OPTIC,
fr_FR,,SOCIETE PAUL WURTH,,base.res_partner_category_8,,,WURTH,SOCIETE PAUL WURTH,
nl_NL,,XIRCOM EUROPE NV,,,,,XIRCOM,XIRCOM EUROPE NV,0444095395
fr_FR,,YVAN PAQUE SA,,base.res_partner_category_0,,,YVAN_PAQUE,YVAN PAQUE SA,0412815271
fr_FR,,Zefal,,base.res_partner_category_8,,,ZEFAL,Zefal,0445805862
nl_NL,,BELG. ZUIVELUNIE CV,,base.res_partner_category_8,,,ZUIVELUNIE,BELG ZUIVELUNIE CV,0403713208
fr_FR,,ARTHUR ANDERSEN LUXEMBOURG,,,,,ZZARTHUL,ARTHUR ANDERSEN LUXEMBOURG,
