city,fax,zip,partner_id:id,phone,street,country_id:id,type
ANTWERPEN,032308550,BE2018,STANDAARD UITGEVERIJ,032395900,BELGIELEI 147A,,default
LUXEMBOURG,,LU2013,STATEC,00352/46 00 93,BOITE POSTALE 304,,default
COUILLET,071431723,BE6010,STEELINTER SA,071444711,RUE DE L'USINE 1,,default
LUXEMBOURG,,LU1443,FIDUCIAIRE STEICHEN,00352/4024801,AVENUE DE LA LIBERTE 24-26,,default
MALMEDY,080792241,BE4960,STEINBACH-INTERMILLS SA,080792211,AVENUE DE LA LIBERATION 1 BTE 2,,default
BRUXELLES,025153284,BE1050,SOCIETE DES TRANSPORTS INTERCOMMUNAUX,025152000,AVENUE DE LA TOISON D'OR 15,,default
MALMEDY,080337806,BE4960,STOCKOBEL SPRL,080852211,ROUTE DE FALIZE 181,,default
PETANGE,,LU4710,SUD BOISSON,,"Rue d'Athus, 24",,default
BERCHEM,032853990,BE2600,SUIKER EXPORT NV,032853966,GENERAAL LEMANSTRAAT 74,,default
BOECHOUT,034540329,BE2530,SUPERMARKT DE WOLF,034552196,ALEXANDER FRANCKSTRAAT 6,,default
ANS,042397456,BE4430,SUPER ECHO,042397400,RUE DES ANGLAIS 5,,default
BRUXELLES,026479159,BE1050,SUZUKI EUROPE SA,026460470,AVENUE LOUISE 283 BTE 1,,default
HOOGSTRATEN,033148780,BE2320,SWAEGERS EN CO,033148210,INDUSTRIEWEG 5,,default
LE PECQ,,FR78230,SYBRON CHIMIE FRANCE SA,0033130152840,Parc Technologique des Grillons,,default
Poissy,,FR78300,SYBRON CHIMIE FRANCE SA,0033/139654600,"Avenue F. LEFEBVRE, 25",,default
LIEGE,,BE4000,TABACCOMAT SA,042277944,QUAI SAINT-L#ONARD 51,,default
GRIVEGNEE,043671200,BE4030,TEC LIEGE-VERVIERS SA,043619111,RUE DU BASSIN 119,,default
TESSENDERLO,013668140,BE3980,TESSENDERLO CHEMIE NV,013612211,STATIONSSTRAAT Z/N,,default
,,BE,Test,,,,default
BRUXELLES,026399911,BE1050,TEXACO BELGIUM,025339111,AVENUE ARNAUD FRAITEUR 2,,default
GRACE-HOLLOGNE,042636603,BE4460,THYSSEN BELGE SA-NV,042397939,RUE DE WALLONIE - ZONING INDUSTRIEL,,default
BRUSSEL,027307540,BE1140,TOYOTA,027307211,KOLONIE BOURGSTRAAT 115,,default
ANTWERPEN,035420283,BE2030,TRACTO NV,035456711,LUITHAGEN - HAVEN 18,,default
ANTWERPEN,032203250,BE2000,FLANDERS TRAVEL NV,032203355,SINT-JAKOBSMARKT 45-47,,default
Rodange,,LU4829,TRAX,,ROUTE DE LA SAUVAGE,,default
,,BE,TREK USA Import,,,,default
,,BE,Umbro,,,,default
BRUXELLES,022277900,BE1000,UNION MINIERE SA-NV,022277111,RUE DU MARAIS 31,,default
HERSTAL,042409545,BE4040,PNEU UNIROYAL ENGLEBERT SA,042409511,1ÔRE AVENUE 44 - PARC INDUSTRIEL DES HAU,,default
ANTWERPEN,035417806,BE2030,UOP NV,035409925,NOORDERLAAN 147,,default
WANZE,085235517,BE4520,NOUVELLE SOCIETE VAMOS ET COMPAGNIE SA,085234765,CHAUSSEE DE WAVRE 259 A,,default
BORGERHOUT,032710708,BE2140,BANK J VAN BREDA & CO,032175111,PLANTIN & MORETUSLEI 295,,default
IZEGEM,051302218,BE8870,VANDEMOORTELE NV,051332211,PRINS ALBERTLAAN 12,,default
GROBBENDONK,014500898,BE2280,VAN DEN BERGHE VOEDERS NV,014500601,LEOPOLDSTRAAT 112,,default
EDEGEM,034509955,BE2650,VANDER ELST TABAK NV,034509911,PRINS BOUDEWIJNLAAN 43,,default
WIJNEGEM,033262151,BE2110,VAN DE WALLE FIRST IN FOOD NV,033262080,BIJKHOEVELAAN 3,,default
TURNHOUT,014402815,BE2300,VAN MIERLO-PROOST & CO NV,014402811,STEENWEG OP MOL 60,,default
KAPELLEN,036653955,BE2950,VAN WELLEN NV,036650144,KLINKAARDSTRAAT 198,,default
KONINGSHOOIKT,034823068,BE2500,VAN HOOL,034202020,BERNARD VAN HOOLSTRAAT 5,,default
GROBBENDONK,014514740,BE2280,VEHA NV,014500011,INDUSTRIEWEG 13,,default
GEEL,014587590,BE2440,VERSTREPEN VLEES NV,014584511,WINKELOMHEIDE 58,,default
JARGEAU,,FR45150,VIANA,,"rue Octave Pédon, 13",,default
Breendonk,,BE2870,VIKING - OFFICE DEPOT INTERNATIONAL,,"Schoonmansveld, 28",,default
HEIST-OP-DEN-BERG,015259904,BE2220,VINK NV,015259711,INDUSTRIEPARK 7,,default
BRUSSEL,025390442,BE1050,VOLKSWAGEN,025365111,MALIESTRAAT 50,,default
GENT,092511714,BE9000,VOLVO EUROPA CAR NV,092502111,J.F. KENNEDYLAAN 25 PB 273,,default
,,BE,VW,,,,default
Bruxelles (Ixelles),,BE1050,Water Fournitures,,"Rue de la Régence, 24",,default
DIEKIRCH,,LU9201,WICKLER FRERES SARL,00352/80.81.66,RUE F. VANNERUS 17,,default
BALEN,014814628,BE2490,WILLEMS METAALCONSTRUCTIES NV,014829911,HOLVEN 124,,default
HEMIKSEM,038879615,BE2620,WOLF OIL CORPORATION NV,038876845,G. GILLIOTSTRAAT 52,,default
HULDANGE,,LU9964,WOOD OPTIC,00352979293,"route de Stavelot, 58,",,default
LUXEMBOURG,,LU1122,SOCIETE PAUL WURTH,,rue d'Alsace 32,,default
KONTICH,034500990,BE2550,XIRCOM EUROPE NV,034500811,DE VILLERMONTSTRAAT 16,,default
ROCOURT,042250706,BE4000,YVAN PAQUE SA,042263920,RUE ARBRE COURTE JOIE 48,,default
,,BE,Zefal,,,,default
LOENHOUT,036698062,BE2990,BELG ZUIVELUNIE CV,036696650,TIENPONDSTRAAT 21,,default
LUXEMBOURG,,LU2220,ARTHUR ANDERSEN LUXEMBOURG,00352/43.70.89,672 RUE DE NEUDORF,,default
